Tue Jun 27 21:52:45 2023    profiling_result.prof

         3524618 function calls (3519948 primitive calls) in 8.095 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    15517    0.039    0.000    0.062    0.000 {method 'write' of '_io.TextIOWrapper' objects}
    14775    0.012    0.000    0.061    0.000 C:\Users\trung\anaconda3\envs\ChessAIProject\lib\site-packages\chess\__init__.py:1566(checkers_mask)
    14803    0.022    0.000    0.057    0.000 C:\Users\trung\anaconda3\envs\ChessAIProject\lib\site-packages\chess\__init__.py:1479(generate_pseudo_legal_moves)
        1    0.000    0.000    0.055    0.055 C:\Users\trung\anaconda3\envs\ChessAIProject\lib\asyncio\base_events.py:1(<module>)
    17864    0.021    0.000    0.054    0.000 C:\Users\trung\anaconda3\envs\ChessAIProject\lib\site-packages\chess\__init__.py:2090(pop)
    12747    0.025    0.000    0.050    0.000 C:\Users\trung\anaconda3\envs\ChessAIProject\lib\encodings\cp1252.py:22(decode)
    35728    0.037    0.000    0.050    0.000 C:\Users\trung\anaconda3\envs\ChessAIProject\lib\site-packages\chess\__init__.py:793(_remove_piece_at)
     3729    0.014    0.000    0.037    0.000 C:\Users\trung\anaconda3\envs\ChessAIProject\lib\site-packages\chess\polyglot.py:249(hash_castling)
    82355    0.029    0.000    0.037    0.000 C:\Users\trung\anaconda3\envs\ChessAIProject\lib\site-packages\chess\__init__.py:49(piece_symbol)
    17864    0.011    0.000    0.036    0.000 C:\Users\trung\anaconda3\envs\ChessAIProject\lib\site-packages\chess\__init__.py:1963(_board_state)
    15570    0.007    0.000    0.036    0.000 C:\Users\trung\anaconda3\envs\ChessAIProject\lib\site-packages\chess\__init__.py:715(attackers_mask)
    87/41    0.000    0.000    0.035    0.001 <frozen importlib._bootstrap>:1053(_handle_fromlist)
    61972    0.034    0.000    0.034    0.000 {method 'split' of 'str' objects}
       61    0.001    0.000    0.034    0.001 <frozen importlib._bootstrap_external>:950(get_code)
    17864    0.018    0.000    0.033    0.000 C:\Users\trung\anaconda3\envs\ChessAIProject\lib\site-packages\chess\__init__.py:829(_set_piece_at)
    15570    0.029    0.000    0.029    0.000 C:\Users\trung\anaconda3\envs\ChessAIProject\lib\site-packages\chess\__init__.py:697(_attackers_mask)
    17864    0.029    0.000    0.029    0.000 C:\Users\trung\anaconda3\envs\ChessAIProject\lib\site-packages\chess\__init__.py:1328(restore)
    10505    0.006    0.000    0.026    0.000 {built-in method builtins.any}
    12747    0.025    0.000    0.025    0.000 {built-in method _codecs.charmap_decode}
     2580    0.004    0.000    0.025    0.000 C:\Users\trung\anaconda3\envs\ChessAIProject\lib\site-packages\stockfish\models.py:176(_go)
    17864    0.025    0.000    0.025    0.000 C:\Users\trung\anaconda3\envs\ChessAIProject\lib\site-packages\chess\__init__.py:1308(__init__)
       61    0.000    0.000    0.023    0.000 <frozen importlib._bootstrap_external>:1070(get_data)
    17864    0.015    0.000    0.023    0.000 C:\Users\trung\anaconda3\envs\ChessAIProject\lib\site-packages\chess\__init__.py:3384(_from_chess960)
    15517    0.010    0.000    0.023    0.000 C:\Users\trung\anaconda3\envs\ChessAIProject\lib\encodings\cp1252.py:18(encode)
